animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_name,can_fly,can_swim,is_domestic_pet
101,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate,False,False,False
102,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
104,kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,Mammal,False,False,False
106,cobra,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,False,False,False
107,jellyfish,0,0,1,0,0,1,1,0,0,0,1,0,4,0,0,0,7,Invertebrate,False,False,False
109,shark,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,False,True,False
110,tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
111,zebra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
112,falcon,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
113,owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
114,butterfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
115,dragonfly,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
116,whale,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,False,True,False
117,rhino,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
118,hippo,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
119,alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3,Reptile,False,False,False
120,crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3,Reptile,False,False,False
121,turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,0,0,3,Reptile,False,False,False
122,lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile,False,False,False
123,snake,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,False,False,False
